millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
106314,1758488491.00,0.00,0.00,0.00,I
106565,1758488491.40,-288.66,659.54,-260.06,I
106965,1758488491.80,-331.30,859.82,-373.36,I
107366,1758488492.20,-327.20,884.77,-431.27,I
107764,1758488492.60,-300.41,635.88,-426.81,I
108161,1758488493.00,-285.91,483.56,-344.97,I
108562,1758488493.40,-433.02,99.15,-209.39,I
108965,1758488493.80,-538.81,-150.74,74.92,I
109365,1758488494.20,-274.12,-485.84,307.16,I
109766,1758488494.60,-173.23,-517.94,391.39,I
110166,1758488495.00,570.28,-801.79,570.07,I
110566,1758488495.40,701.84,-817.57,567.05,I
110966,1758488495.80,978.04,-338.14,396.16,I
111367,1758488496.20,724.96,-80.83,108.93,I
111767,1758488496.60,325.31,-72.21,-130.74,I
112163,1758488497.00,59.20,-82.59,-210.86,I
112564,1758488497.40,-185.46,-320.59,-188.76,I
112966,1758488497.80,-574.61,-786.58,-196.60,I
113362,1758488498.20,-675.57,-1093.75,-152.92,I
113766,1758488498.60,233.37,-903.54,69.90,I
114167,1758488499.00,593.89,-1058.90,429.79,I
114563,1758488499.40,1419.57,-1519.52,422.22,I
114965,1758488499.80,1914.21,-2724.89,241.10,I
115364,1758488500.20,2403.63,-3391.47,301.41,I
115764,1758488500.60,2829.38,-3673.71,273.86,I
116166,1758488501.00,1837.75,-2431.36,232.32,I
116567,1758488501.40,1354.03,-1160.19,-38.01,
116968,1758488501.80,586.54,292.02,-273.40,
117366,1758488502.20,-165.75,1693.84,-311.04,
117767,1758488502.60,-1179.86,2776.56,-242.54,
118166,1758488503.00,-1742.38,3412.04,-214.30,
118567,1758488503.40,-1836.90,3836.62,-213.30,
118966,1758488503.80,-2175.75,4194.37,-80.16,
119367,1758488504.20,-2199.28,4022.40,88.30,
119767,1758488504.60,-2042.55,3407.67,150.03,
120170,1758488505.00,-1741.84,2710.52,196.13,
120565,1758488505.40,-1466.33,2253.79,155.16,
120967,1758488505.80,-1214.76,1897.63,-47.05,
121368,1758488506.20,-1031.44,1675.66,-212.51,
121768,1758488506.60,-920.29,1266.35,-183.84,
122166,1758488507.00,-837.46,780.09,-54.40,
122567,1758488507.40,-625.71,420.23,63.80,
122968,1758488507.80,-420.24,102.77,116.79,
123392,1758488508.20,-359.95,-257.09,120.64,
123769,1758488508.60,-416.48,-692.88,162.57,
124169,1758488509.00,-397.42,-1032.65,177.60,
124571,1758488509.40,-332.39,-1138.25,162.41,
124969,1758488509.80,-230.98,-1153.88,142.70,
125369,1758488510.20,-25.84,-1224.71,175.84,
125772,1758488510.60,228.24,-1388.95,254.81,
126171,1758488511.00,409.95,-1456.94,288.01,
126570,1758488511.40,590.42,-1314.21,101.91,
126971,1758488511.80,735.27,-887.85,-247.41,
127371,1758488512.20,787.05,-587.99,-477.78,
127768,1758488512.60,883.89,-593.74,-550.09,
128165,1758488513.00,1302.54,-1255.82,-637.31,
128566,1758488513.40,1148.40,-697.54,-639.91,
128969,1758488513.80,1068.54,-984.08,-476.31,
129371,1758488514.20,911.85,-985.35,-265.28,
129772,1758488514.60,558.94,-1070.23,-173.99,
130170,1758488515.00,237.74,-988.28,-148.16,
130571,1758488515.40,115.58,-805.94,-163.45,
130972,1758488515.80,170.65,-511.78,-216.46,
131374,1758488516.20,123.38,-347.84,-49.75,
131781,1758488516.60,162.00,-357.28,175.40,
132172,1758488517.00,192.50,-405.69,432.67,
132572,1758488517.40,352.29,-417.47,705.26,
132974,1758488517.80,535.92,-498.92,845.80,
133373,1758488518.20,506.09,-500.45,847.74,
133771,1758488518.60,426.51,-437.82,735.50,
134172,1758488519.00,475.14,-258.94,487.40,
134571,1758488519.40,412.10,-186.60,203.66,
134973,1758488519.80,351.29,-3.15,-17.26,
135372,1758488520.20,460.03,101.37,-96.55,
135773,1758488520.60,595.27,172.73,-117.74,
136173,1758488521.00,626.34,316.13,-226.80,
136572,1758488521.40,465.76,480.15,-436.85,
136973,1758488521.80,78.06,459.32,-604.05,
137373,1758488522.20,-316.84,340.36,-603.87,
137774,1758488522.60,-465.89,227.19,-469.57,
138173,1758488523.00,-475.00,120.07,-265.65,
138572,1758488523.40,-416.86,54.06,-78.64,
138972,1758488523.80,-305.62,21.63,62.38,
139373,1758488524.20,-229.88,33.98,118.80,
139775,1758488524.60,-168.87,15.99,188.27,
140175,1758488525.00,-14.54,7.29,312.94,
140573,1758488525.40,165.65,-158.02,450.21,
140975,1758488525.80,362.37,-412.81,559.18,
141376,1758488526.20,597.88,-584.82,569.04,
141776,1758488526.60,873.67,-569.58,412.57,
142175,1758488527.00,961.79,-255.98,120.00,
142576,1758488527.40,683.22,60.31,-191.78,
142975,1758488527.80,176.02,290.06,-360.29,
143403,1758488528.20,-458.81,478.51,-501.98,
143776,1758488528.60,-999.93,646.44,-567.61,
144175,1758488529.00,-1392.60,925.09,-724.71,
144575,1758488529.40,-1595.46,1120.21,-882.92,
144975,1758488529.80,-1624.59,1161.49,-982.01,
145371,1758488530.20,-1572.38,1125.28,-944.36,
145779,1758488530.60,-1423.50,648.17,-968.92,
146172,1758488531.00,-1076.66,-190.28,-1041.31,
146572,1758488531.40,-895.87,50.77,-1086.31,
146971,1758488531.80,-455.62,889.53,-850.13,
147371,1758488532.20,-226.01,967.80,-332.10,
147775,1758488532.60,88.64,483.23,87.21,
148175,1758488533.00,373.75,-14.21,550.07,
148575,1758488533.40,765.56,-397.15,732.89,
148975,1758488533.80,960.28,-811.10,712.49,
149375,1758488534.20,976.43,-960.37,669.13,
149776,1758488534.60,1304.46,-612.32,516.44,
150175,1758488535.00,1082.03,-168.69,601.39,
150576,1758488535.40,832.48,227.19,653.72,
150975,1758488535.80,580.40,492.98,568.10,
151376,1758488536.20,178.80,616.01,385.51,
151776,1758488536.60,-258.62,802.48,293.92,
152176,1758488537.00,-608.92,1034.71,243.85,
152576,1758488537.40,-790.05,1164.92,253.76,
152976,1758488537.80,-861.05,1274.92,298.78,
153376,1758488538.20,-901.83,1314.35,278.56,
153799,1758488538.60,-870.67,1278.16,131.04,
154174,1758488539.00,-629.27,933.33,35.44,
154571,1758488539.40,-284.21,839.92,-72.85,
154971,1758488539.80,61.24,1213.90,-152.25,
155372,1758488540.20,80.68,649.60,-165.46,
155772,1758488540.60,66.19,167.39,-81.26,
156171,1758488541.00,176.74,-140.38,-15.31,
156572,1758488541.40,202.77,-385.24,124.06,
156977,1758488541.80,114.72,-656.69,345.12,
157377,1758488542.20,-351.67,-893.29,458.55,
157779,1758488542.60,-351.36,-1459.89,664.07,
158177,1758488543.00,-219.31,-2046.05,993.54,
158577,1758488543.40,-303.00,-2385.44,1187.90,
158977,1758488543.80,50.33,-2962.64,1199.21,
159378,1758488544.20,412.48,-2806.30,1018.78,
159778,1758488544.60,819.18,-2407.88,697.48,
160177,1758488545.00,811.37,-1772.01,300.07,
160577,1758488545.40,515.88,-856.35,-12.16,
160978,1758488545.80,25.65,-179.25,-81.75,
161378,1758488546.20,-336.91,143.57,-49.31,
161781,1758488546.60,-558.54,258.75,-44.11,
162180,1758488547.00,-707.20,139.71,-152.24,
162580,1758488547.40,-717.19,262.69,-367.80,
162979,1758488547.80,-660.21,544.91,-534.23,
163405,1758488548.20,-549.67,817.00,-730.53,
163779,1758488548.60,-427.94,909.03,-830.56,
164175,1758488549.00,-223.05,755.35,-876.22,
164578,1758488549.40,-92.01,603.66,-979.01,
164973,1758488549.80,-52.97,522.20,-1048.21,
165381,1758488550.20,-149.00,564.31,-1092.96,
165774,1758488550.60,-183.74,670.86,-1097.77,
