GPS_Epoch_Time(s),dmx(mm),dmy(mm),dmz(mm),dmn(mm)
1758488491.00,0,0,0,0
1758488491.40,-323,738,-291,383
1758488491.80,-119,387,-191,41
1758488492.20,-85,258,-164,-105
1758488492.60,-68,-18,-119,-36
1758488493.00,-85,55,-44,-27
1758488493.40,-272,-221,23,357
1758488493.80,-272,-147,211,753
1758488494.20,102,-295,214,1062
1758488494.60,-34,-36,104,-514
1758488495.00,698,-332,235,-1041
1758488495.40,187,-110,83,111
1758488495.80,391,424,-93,-722
1758488496.20,-119,276,-252,-708
1758488496.60,-323,55,-260,-4
1758488497.00,-255,36,-138,-81
1758488497.40,-289,-221,-47,-72
1758488497.80,-510,-535,-81,-69
1758488498.20,-289,-479,-31,106
1758488498.60,800,-18,174,772
1758488499.00,391,-387,377,109
1758488499.40,1004,-793,55,-10
1758488499.80,851,-1772,-131,984
1758488500.20,1004,-1513,105,33
1758488500.60,1106,-1329,28,119
1758488501.00,-306,203,14,-317
1758488501.40,102,424,-244,-665
1758488501.80,-272,849,-264,-477
1758488502.20,-391,1089,-100,-37
1758488502.60,-834,1052,4,-13
1758488503.00,-562,830,-31,399
1758488503.40,-187,793,-60,48
1758488503.80,-510,886,83,-2
1758488504.20,-272,461,150,-362
1758488504.60,-119,18,70,379
1758488505.00,34,-129,70,162
1758488505.40,34,55,-12,91
1758488505.80,34,129,-197,-128
1758488506.20,-17,258,-201,113
1758488506.60,-85,55,-25,-105
1758488507.00,-119,-73,90,142
1758488507.40,17,0,105,172
1758488507.80,34,0,60,223
1758488508.20,-102,-92,20,223
1758488508.60,-238,-239,67,291
1758488509.00,-187,-221,51,201
1758488509.40,-153,-36,26,211
1758488509.80,-119,36,23,146
1758488510.20,0,-36,83,173
1758488510.60,85,-166,148,229
1758488511.00,51,-110,123,128
1758488511.40,85,92,-105,-196
1758488511.80,85,424,-323,-333
1758488512.20,17,369,-270,-200
1758488512.60,85,92,-153,-171
1758488513.00,476,-646,-197,-171
1758488513.40,-51,553,-136,95
1758488513.80,17,-276,34,284
1758488514.20,-68,-36,111,-13
1758488514.60,-306,-147,16,-19
1758488515.00,-340,0,-43,114
1758488515.40,-187,110,-89,-322
1758488515.80,-17,258,-141,-293
1758488516.20,-119,166,85,-16
1758488516.60,-34,0,183,131
1758488517.00,-34,-55,270,499
1758488517.40,119,-36,352,269
1758488517.80,187,-129,280,316
1758488518.20,0,-73,176,173
1758488518.60,-51,-18,70,170
1758488519.00,85,110,-87,-186
1758488519.40,-17,18,-167,-46
1758488519.80,-17,147,-151,-139
1758488520.20,170,92,-38,-90
1758488520.60,238,73,11,-34
1758488521.00,170,166,-91,-178
1758488521.40,-17,221,-230,-274
1758488521.80,-289,55,-236,-208
1758488522.20,-374,-55,-98,-48
1758488522.60,-187,-73,39,58
1758488523.00,-68,-92,136,139
1758488523.40,0,-73,156,121
1758488523.80,68,-55,144,58
1758488524.20,51,-18,82,118
1758488524.60,51,-55,112,253
1758488525.00,170,-55,194,374
1758488525.40,238,-239,244,214
1758488525.80,306,-387,255,226
1758488526.20,408,-369,184,-72
1758488526.60,527,-221,17,-138
1758488527.00,408,92,-156,-240
1758488527.40,51,147,-235,-190
1758488527.80,-238,110,-144,-159
1758488528.20,-476,110,-156,-80
1758488528.60,-510,129,-111,-211
1758488529.00,-476,295,-239,-293
1758488529.40,-374,276,-291,-379
1758488529.80,-255,166,-281,-211
1758488530.20,-204,110,-175,-204
1758488530.60,-119,-369,-262,-319
1758488531.00,102,-867,-349,-440
1758488531.40,-34,147,-366,-187
1758488531.80,272,867,-96,739
1758488532.20,119,221,241,236
1758488532.60,255,-369,226,361
1758488533.00,289,-479,358,574
1758488533.40,476,-461,149,253
1758488533.80,357,-590,-31,34
1758488534.20,221,-406,-54,-118
1758488534.60,596,92,-179,-17
1758488535.00,85,258,57,46
1758488535.40,34,295,46,72
1758488535.80,0,239,-88,-156
1758488536.20,-204,147,-208,-121
1758488536.60,-323,258,-143,-90
1758488537.00,-323,369,-115,-46
1758488537.40,-221,332,-58,-74
1758488537.80,-153,369,-15,-13
1758488538.20,-153,350,-75,-170
1758488538.60,-102,313,-219,-301
1758488539.00,119,0,-194,-229
1758488539.40,272,239,-232,-245
1758488539.80,340,775,-229,-236
1758488540.20,51,-147,-180,37
1758488540.60,17,-147,-82,-71
1758488541.00,153,-36,-90,-52
1758488541.40,85,-18,2,448
1758488541.80,-34,-92,123,-24
1758488542.20,-476,-110,56,256
1758488542.60,-68,-535,192,469
1758488543.00,68,-701,390,661
1758488543.40,-153,-590,335,160
1758488543.80,306,-978,203,426
1758488544.20,391,-350,23,38
1758488544.60,527,-110,-145,-358
1758488545.00,170,184,-278,-409
1758488545.40,-136,590,-256,-145
1758488545.80,-408,498,-46,60
1758488546.20,-374,239,59,75
1758488546.60,-306,73,43,24
1758488547.00,-289,-166,-75,-118
1758488547.40,-187,73,-214,-215
1758488547.80,-136,276,-207,-249
1758488548.20,-85,332,-282,-291
1758488548.60,-68,203,-228,-208
1758488549.00,34,-36,-203,-242
1758488549.40,-17,-55,-293,-292
1758488549.80,-102,0,-298,-316
1758488550.20,-255,129,-309,-303
1758488550.60,-221,221,-300,-285
1758488551.00,-238,276,-292,-284
1758488551.40,-306,239,-285,-249
1758488551.80,834,-1421,21,2611
1758488552.20,613,-646,686,1008
1758488552.60,766,-1845,653,1515
1758488553.00,1158,-1421,391,-55
1758488553.40,1379,-1938,-385,-94
1758488553.80,1873,-2897,48,652
1758488554.20,1089,-830,323,55
1758488554.60,970,-701,37,-85
1758488555.00,323,-203,-183,-850
1758488555.40,255,461,-539,-823
1758488555.80,-715,886,-353,-349
1758488556.20,-749,1292,-271,-423
1758488556.60,-102,313,-148,269
1758488557.00,-442,941,-36,-48
1758488557.40,17,1033,125,68
1758488557.80,-170,664,192,421
1758488558.20,-136,166,143,184
1758488558.60,34,498,40,12
1758488559.00,51,609,-124,-261
1758488559.40,-136,535,-186,-232
1758488559.80,-119,701,-180,-229
1758488560.20,-136,664,-177,-173
1758488560.60,-238,535,-22,91
1758488561.00,-187,424,178,207
1758488561.40,-85,203,271,279
1758488561.80,34,129,197,123
1758488562.20,17,110,47,59
1758488562.60,17,55,-14,31
1758488563.00,-17,0,26,55
1758488563.40,-34,36,12,-1
1758488563.80,-34,55,-22,-8
1758488564.20,17,129,-57,-85
1758488564.60,-34,239,-129,-145
1758488565.00,-204,332,-166,-150
1758488565.40,-187,387,-151,-141
1758488565.80,-102,461,-96,-77
1758488566.20,-119,461,-16,10
1758488566.60,-289,369,26,31
1758488567.00,-323,184,40,48
1758488567.40,-323,36,0,-23
1758488567.80,-357,-73,-96,-128
1758488568.20,-289,73,-122,-156
1758488568.60,-221,55,-97,-175
1758488569.00,-136,18,-78,-27
1758488569.40,-153,-18,44,77
1758488569.80,-119,18,17,-19
1758488570.20,-204,-55,-18,46
1758488570.60,-85,-166,73,121
1758488571.00,34,-110,219,291
1758488571.40,187,-221,199,106
1758488571.80,34,-92,35,45
1758488572.20,-85,-110,2,-72
1758488572.60,-221,0,-26,-12
1758488573.00,-391,-110,57,-87
1758488573.40,-476,0,2,-45
1758488573.80,-306,18,52,67
1758488574.20,51,36,159,223
1758488574.60,272,-36,260,215
1758488575.00,442,-147,225,286
1758488575.40,442,-221,75,18
1758488575.80,391,-166,-49,-93
1758488576.20,255,-92,-60,-110
1758488576.60,51,-73,-145,-308
1758488577.00,-204,0,-304,-215
1758488577.40,-374,110,-144,-161
1758488577.80,-408,276,-151,-252
1758488578.20,-425,590,-268,-250
1758488578.60,-204,406,-253,-256
1758488579.00,17,350,-240,-197
1758488579.40,238,443,-180,-103
1758488579.80,374,387,-111,16
1758488580.20,-153,-867,104,1031
1758488580.60,-51,-719,484,666
1758488581.00,-17,-830,426,595
1758488581.40,391,-793,212,116
1758488581.80,204,-516,45,165
1758488582.20,-170,-424,1,-141
1758488582.60,170,-295,-324,-515
1758488583.00,-119,110,-445,-465
1758488583.40,-34,184,-259,-116
1758488583.80,-170,239,-258,-217
1758488584.20,-170,443,-83,-65
1758488584.60,-204,443,5,-177
1758488585.00,-255,590,-109,-112
1758488585.40,-272,479,-21,-159
1758488585.80,-170,166,26,67
1758488586.20,-187,-18,140,194
1758488586.60,-68,-147,228,248
1758488587.00,102,-203,254,254
1758488587.40,238,18,180,270
1758488587.80,306,-18,84,102
1758488588.20,255,147,-71,-206
1758488588.60,170,239,-218,-251
1758488589.00,-85,73,-197,-184
1758488589.40,-187,-110,-85,-62
1758488589.80,-204,-258,54,227
1758488590.20,-238,-295,156,201
1758488590.60,-170,-369,58,31
1758488591.00,-68,-239,16,93
1758488591.40,-102,-110,46,-24
1758488591.80,-136,92,-127,-150
1758488592.20,-136,276,-173,-172
1758488592.60,-17,92,-48,-3
1758488593.00,119,-36,187,163
1758488593.40,85,-73,236,224
1758488593.80,102,-73,156,47
1758488594.20,187,-55,41,29
1758488594.60,153,-55,76,79
1758488595.00,204,-18,19,-173
1758488595.40,187,55,-190,-140
1758488595.80,119,129,-132,-193
1758488596.20,0,147,-198,-201
1758488596.60,-170,147,-225,-247
1758488597.00,-255,110,-232,-248
1758488597.40,-306,-36,-158,-114
1758488597.80,-153,-55,1,-62
1758488598.20,0,-166,42,16
1758488598.60,85,18,-8,27
1758488599.00,-119,-203,53,104
1758488599.40,-51,-443,202,708
1758488599.80,34,-516,359,236
1758488600.20,255,-443,116,27
1758488600.60,323,-203,-58,-305
1758488601.00,153,0,-243,-383
1758488601.40,85,166,-280,-209
1758488601.80,-102,313,-152,-78
1758488602.20,-221,332,-66,-143
1758488602.60,-170,350,-144,-180
1758488603.00,-102,221,-5,-104
1758488603.40,-119,55,-51,-86
1758488603.80,-119,55,-28,116
1758488604.20,-68,36,-9,-42
1758488604.60,68,0,2,-19
1758488605.00,34,-166,8,23
1758488605.40,-102,-203,-65,-17
1758488605.80,-221,-18,-104,-65
1758488606.20,-306,166,-149,-92
1758488606.60,-102,129,5,15
1758488607.00,-34,0,123,-31
1758488607.40,102,-221,230,225
1758488607.80,170,-239,362,327
1758488608.20,238,-313,271,138
1758488608.60,221,-387,15,71
1758488609.00,153,-332,-25,-93
1758488609.40,34,-55,-155,-186
1758488609.80,-102,129,-244,-211
1758488610.20,-119,239,-268,-160
1758488610.60,-238,406,-149,-18
1758488611.00,-153,369,-36,-22
1758488611.40,-17,73,-19,103
1758488611.80,17,-18,155,192
1758488612.20,51,-55,144,127
1758488612.60,51,-147,66,11
1758488613.00,-51,-36,-15,-10
1758488613.40,-34,-36,-32,-20
1758488613.80,17,18,-48,44
1758488614.20,0,36,35,-58
1758488614.60,153,110,-3,66
1758488615.00,272,0,72,88
1758488615.40,255,92,25,48
1758488615.80,153,73,8,-37
1758488616.20,34,110,-34,-35
1758488616.60,-34,73,-65,-131
1758488617.00,-119,-92,-18,125
1758488617.40,-68,-295,217,255
1758488617.80,17,-184,215,166
1758488618.20,51,-55,105,99
1758488618.60,34,18,-81,-193
1758488619.00,-51,129,-295,-322
1758488619.40,-170,369,-295,-246
1758488619.80,51,461,-264,-384
1758488620.20,-102,55,-461,-473
1758488620.60,-340,-369,-480,-556
1758488621.00,-681,36,-528,-541
1758488621.40,476,1255,-397,111
1758488621.80,136,-406,-11,372
1758488622.20,562,-996,318,1312
1758488622.60,238,-738,507,433
1758488623.00,562,-664,16,-430
1758488623.40,323,-516,-397,-125
1758488623.80,527,369,-134,-360
1758488624.20,17,295,-292,-90
1758488624.60,-85,92,-104,52
1758488625.00,153,129,-67,102
1758488625.40,-306,-129,-55,-109
1758488625.80,-323,0,-150,-86
1758488626.20,-374,313,-191,-108
1758488626.60,-374,498,-134,-150
1758488627.00,-272,369,-165,-142
1758488627.40,34,239,-219,-206
1758488627.80,493,221,-235,-257
1758488628.20,-170,129,-134,304
1758488628.60,255,-572,339,1247
1758488629.00,187,-572,607,634
1758488629.40,119,-756,365,239
1758488629.80,289,-812,141,-52
1758488630.20,-85,-239,-302,-456
1758488630.60,-272,295,-445,-496
1758488631.00,-153,332,-300,-46
1758488631.40,-221,535,-86,-128
1758488631.80,-255,535,-67,114
1758488632.20,-340,332,116,281
1758488632.60,-85,55,254,458
1758488633.00,68,-129,225,263
1758488633.40,0,-258,78,75
1758488633.80,34,-221,8,64
1758488634.20,-17,-147,-96,-215
1758488634.60,-85,147,-293,-236
1758488635.00,-136,369,-122,-221
1758488635.40,17,239,-95,-46
1758488635.80,0,129,41,21
1758488636.20,-119,-36,37,121
1758488636.60,-204,-92,86,151
1758488637.00,-204,-110,79,93
1758488637.40,-136,-73,42,25
1758488637.80,-102,18,-31,-45
1758488638.20,-136,0,-51,-17
1758488638.60,-136,-110,-28,-49
1758488639.00,-102,18,-63,-29
1758488639.40,-51,18,6,62
1758488639.80,102,36,33,-73
