timestamp(ticks/UTC),solar(V),batt(V),bus(V),solar(I),batt(I),bus(I),batt_temp(C),chg_stat,chg_fault
1758488411.242,0.31,3.90,3.87,0.000,-0.280,0.284,0.0,0,0
1758488439.968,0.31,3.90,3.87,0.000,-0.264,0.267,0.0,0,0
1758488468.691,0.32,3.91,3.88,0.000,-0.237,0.240,0.0,0,0
1758488497.417,0.32,3.91,3.89,0.000,-0.198,0.201,0.0,0,0
1758488526.140,0.32,3.91,3.87,0.000,-0.249,0.252,0.0,0,0
1758488554.867,0.32,3.91,3.88,0.000,-0.225,0.228,0.0,0,0
1758488583.621,0.32,3.90,3.88,0.000,-0.237,0.240,0.0,0,0
1758488612.316,0.33,3.90,3.87,0.000,-0.279,0.282,0.0,0,0
1758488641.039,0.33,3.90,3.87,0.000,-0.254,0.256,0.0,0,0
1758488669.769,0.33,3.90,3.87,0.000,-0.239,0.241,0.0,0,0
1758488698.492,0.33,3.90,3.88,0.000,-0.233,0.235,0.0,0,0
1758488727.214,0.33,3.90,3.87,0.000,-0.2
